iter	MultiClass
0	0.9668801044
1	0.8696888678
2	0.7950242334
3	0.7363658593
4	0.6890395359
5	0.6500965274
6	0.617963633
7	0.5907462558
8	0.5679960905
9	0.5486048761
10	0.5324423887
11	0.5191108193
12	0.5073992673
13	0.4972771762
14	0.4882707215
15	0.4807698448
16	0.4743503768
17	0.4685322045
18	0.4637363462
19	0.4594744611
20	0.4559069204
21	0.4526073358
22	0.4496799686
23	0.4471437195
24	0.4450188355
25	0.4431017687
26	0.4414362692
27	0.4399983974
28	0.4387158264
29	0.4376136258
30	0.4366066228
31	0.4357397821
32	0.4348810867
33	0.4341514623
34	0.4336130918
35	0.4330487556
36	0.4325074777
37	0.4320910426
38	0.4316918025
39	0.4313306002
40	0.43103112
41	0.4307836424
42	0.4304813414
43	0.43018181
44	0.4299615594
45	0.4297489454
46	0.4295605926
47	0.4293841681
48	0.4291746176
49	0.4289886868
50	0.4288297552
51	0.4286471661
52	0.4284868708
53	0.4282841708
54	0.4281658886
55	0.4280198384
56	0.4279532169
57	0.4278631964
58	0.427701795
59	0.4275850034
60	0.4274846183
61	0.4274130131
62	0.4273314592
63	0.4272359974
64	0.4271421171
65	0.4270503114
66	0.427004298
67	0.4269542114
68	0.4268648185
69	0.4268104639
70	0.426721581
71	0.4266573541
72	0.42662647
73	0.4265833595
74	0.4264688685
75	0.4264111663
76	0.4263119443
77	0.4262862434
78	0.426239493
79	0.4262002257
80	0.426166841
81	0.4261452037
82	0.4260935036
83	0.4260534805
84	0.4260212691
85	0.4259553329
86	0.4259111138
87	0.42585571
88	0.4257691383
89	0.4256917579
90	0.4256631594
91	0.4256360205
92	0.4255978219
93	0.425567434
94	0.4255416465
95	0.4255014004
96	0.4254305716
97	0.4254191647
98	0.42538695
99	0.4253634483
100	0.4253525326
101	0.4253422433
102	0.4252743852
103	0.4252503635
104	0.4252339379
105	0.425206912
106	0.4251483985
107	0.4251314249
108	0.4250957276
109	0.4250553872
110	0.4250401858
111	0.4250065099
112	0.4249947566
113	0.4249800136
114	0.4249472386
115	0.4249364451
116	0.4249162739
117	0.4248540327
118	0.4248345152
119	0.4248174801
120	0.4247905093
121	0.4247523976
122	0.4247289789
123	0.4247106694
124	0.4247039105
125	0.4246591267
126	0.4246483264
127	0.4246263758
128	0.4246060679
129	0.4245968841
130	0.4245847513
131	0.4245668309
132	0.4245486024
133	0.4245209126
134	0.4244740954
135	0.4244684431
136	0.4244522851
137	0.4244226409
138	0.4244117556
139	0.4243881837
140	0.4243702616
141	0.4243577966
142	0.4243311642
143	0.4243054067
144	0.4242739953
145	0.424239448
146	0.4242016817
147	0.4241742713
148	0.424162971
149	0.4241276832
150	0.4241122747
151	0.4240936541
152	0.4240763269
153	0.4240571876
154	0.4240483428
155	0.4239820534
156	0.4239743149
157	0.4239679795
158	0.4239548515
159	0.4239311334
160	0.4239219822
161	0.4238729285
162	0.4238661571
163	0.423859093
164	0.4238356975
165	0.4238200997
166	0.4237989134
167	0.423790341
168	0.4237708222
169	0.4237483784
170	0.4237154072
171	0.4236989872
172	0.423665706
173	0.4236556835
174	0.4236479751
175	0.4236327573
176	0.4236305906
177	0.4235904953
178	0.4235787973
179	0.423559533
180	0.4235394234
181	0.4235295905
182	0.4235157536
183	0.423505198
184	0.4234903469
185	0.4234633984
186	0.4234503992
187	0.4234340509
188	0.4234274648
189	0.4234194833
190	0.423399326
191	0.4233932047
192	0.4233797729
193	0.4233704171
194	0.4233535566
195	0.4233368635
196	0.4233213099
197	0.4233091394
198	0.4232794588
199	0.4232714382
200	0.4232470185
201	0.4232442571
202	0.4232145775
203	0.4232031604
204	0.4231865923
205	0.4231840785
206	0.423177302
207	0.4231560196
208	0.4231381032
209	0.423132482
210	0.4231244494
211	0.4231018421
212	0.4230880772
213	0.4230823322
214	0.4230769678
215	0.4230712301
216	0.4230549758
217	0.4230439502
218	0.4230373091
219	0.4230321086
220	0.4230037595
221	0.422979405
222	0.4229714609
223	0.4229575956
224	0.4229467248
225	0.4229358744
226	0.4229342109
227	0.4229090365
228	0.4228874032
229	0.4228772614
230	0.4228687267
231	0.4228519408
232	0.4228444131
233	0.422819096
234	0.4228080614
235	0.4227978203
236	0.4227848196
237	0.4227726253
238	0.4227605033
239	0.4227503963
240	0.4227296336
241	0.4227160926
242	0.4226965462
243	0.4226811927
244	0.4226721475
245	0.4226659907
246	0.4226524567
247	0.4226429382
248	0.4226365891
249	0.4226358014
250	0.4226192129
251	0.422603787
252	0.4225842272
253	0.4225718444
254	0.4225566548
255	0.4225499763
256	0.4225476819
257	0.4225398609
258	0.4225295819
259	0.4225237729
260	0.4225173538
261	0.4225110601
262	0.4225024348
263	0.4224608554
264	0.4224485109
265	0.4224385086
266	0.4224222327
267	0.4224020736
268	0.4223905797
269	0.4223868401
270	0.4223616355
271	0.4223513778
272	0.4223333157
273	0.4223305307
274	0.4223248058
275	0.422318218
276	0.4223159202
277	0.4223067267
278	0.4223014363
279	0.4222859535
280	0.4222694581
281	0.4222651588
282	0.4222617895
283	0.4222478007
284	0.4222401929
285	0.4222305111
286	0.4222219359
287	0.4222176921
288	0.4222124125
289	0.4221993289
290	0.4221855261
291	0.4221809581
292	0.4221749257
293	0.42214463
294	0.4221418
295	0.4221297324
296	0.4221177517
297	0.4221150073
298	0.4220918076
299	0.4220792186
300	0.4220770783
301	0.42206733
302	0.4220628527
303	0.4220572901
304	0.422050482
305	0.4220325269
306	0.4220215016
307	0.4220168854
308	0.4220005084
309	0.4219940653
310	0.4219831567
311	0.4219714697
312	0.4219686227
313	0.4219514833
314	0.4219408761
315	0.4219333427
316	0.4219284413
317	0.4219208189
318	0.4219024377
319	0.4218853358
320	0.4218744162
321	0.421861877
322	0.4218550652
323	0.4218454339
324	0.4218355158
325	0.421833274
326	0.4218309335
327	0.4218250094
328	0.4218123703
329	0.4218080545
330	0.4217967213
331	0.4217883843
332	0.4217757633
333	0.4217724037
334	0.4217664737
335	0.4217582152
336	0.4217513307
337	0.4217379642
338	0.421733873
339	0.4217309049
340	0.4217202728
341	0.4217139276
342	0.4216987423
343	0.4216950828
344	0.4216908739
345	0.4216747101
346	0.4216668932
347	0.4216610897
348	0.4216471112
349	0.4216297775
350	0.4216237569
351	0.4216162019
352	0.4215992488
353	0.4215950432
354	0.4215802604
355	0.4215774217
356	0.4215732411
357	0.4215697328
358	0.4215577188
359	0.4215507919
360	0.4215412978
361	0.4215388841
362	0.421526894
363	0.4215214692
364	0.4215070454
365	0.4215008777
366	0.4214897004
367	0.4214748688
368	0.4214611699
369	0.4214517541
370	0.421445672
371	0.4214312041
372	0.421427899
373	0.4214160916
374	0.4214030863
375	0.4213958165
376	0.4213854365
377	0.4213767552
378	0.4213523087
379	0.4213436232
380	0.421338604
381	0.4213359024
382	0.4213327331
383	0.4213307875
384	0.4213180201
385	0.4213124395
386	0.4212960968
387	0.4212795254
388	0.4212716957
389	0.4212679865
390	0.421262324
391	0.4212587173
392	0.4212477138
393	0.4212434851
394	0.421230534
395	0.421217452
396	0.4212101701
397	0.4212039879
398	0.4211970769
399	0.4211888717
400	0.4211866193
401	0.4211790166
402	0.4211716894
403	0.4211473387
404	0.4211454981
405	0.4211411196
406	0.421105434
407	0.4211027856
408	0.4210944157
409	0.4210852116
410	0.4210671132
411	0.421066613
412	0.4210552132
413	0.4210486027
414	0.4210366605
415	0.4210261452
416	0.4210150675
417	0.4210135857
418	0.421006455
419	0.4210038368
420	0.4209967369
421	0.4209886802
422	0.4209761204
423	0.4209747021
424	0.420973269
425	0.4209611512
426	0.4209535637
427	0.4209485256
428	0.4209475663
429	0.4209373237
430	0.4209333116
431	0.4209185319
432	0.4209092862
433	0.4209040237
434	0.4208975086
435	0.4208827148
436	0.4208778143
437	0.420874097
438	0.4208703039
439	0.4208667004
440	0.42085556
441	0.4208499866
442	0.4208252163
443	0.4208155796
444	0.4207979372
445	0.4207867913
446	0.4207810675
447	0.4207785898
448	0.4207753866
449	0.4207724561
450	0.4207499834
451	0.4207406758
452	0.420737098
453	0.420731668
454	0.4207247891
455	0.420716809
456	0.4206987353
457	0.4206905951
458	0.4206719294
459	0.4206584612
460	0.4206511791
461	0.4206494026
462	0.4206466869
463	0.4206304213
464	0.4206249317
465	0.4206209162
466	0.4206155834
467	0.4206070327
468	0.4206048841
469	0.4205940392
470	0.4205887156
471	0.4205804816
472	0.4205721365
473	0.4205639596
474	0.4205515144
475	0.4205478123
476	0.4205389275
477	0.4205368522
478	0.4205337441
479	0.4205254972
480	0.4205168505
481	0.4205125207
482	0.4204992047
483	0.4204893819
484	0.4204867411
485	0.4204735625
486	0.4204713093
487	0.4204604983
488	0.4204505629
489	0.4204462075
490	0.4204439191
491	0.4204353602
492	0.420422668
493	0.4204143362
494	0.4204092175
495	0.4204047119
496	0.4203930353
497	0.4203790126
498	0.4203715353
499	0.4203665917
500	0.420360828
501	0.4203492789
502	0.4203423727
503	0.4203395672
504	0.4203293509
505	0.420327046
506	0.4203236221
507	0.4203097172
508	0.4203077829
509	0.4202917316
510	0.4202852587
511	0.4202817582
512	0.4202692283
513	0.4202608033
514	0.420255891
515	0.4202524914
516	0.4202455403
517	0.4202437179
518	0.4202427418
519	0.4202314397
520	0.4202253225
521	0.4202219814
522	0.4202125687
523	0.4202074733
524	0.4202015286
525	0.4201939265
526	0.4201924554
527	0.4201721891
528	0.4201702663
529	0.4201650473
530	0.4201472929
531	0.4201431337
532	0.4201370012
533	0.4201268653
534	0.4201091747
535	0.4200924073
536	0.4200847785
537	0.4200792165
538	0.4200725779
539	0.4200581105
540	0.4200488602
541	0.4200431639
542	0.4200379927
543	0.4200296491
544	0.4200161136
545	0.4200130833
546	0.4200094296
547	0.4200015654
548	0.4199932225
549	0.4199837833
550	0.4199783309
551	0.419973638
552	0.419966883
553	0.4199605917
554	0.4199547053
555	0.4199447478
556	0.4199412525
557	0.4199333404
558	0.4199272837
559	0.4199168706
560	0.4199141745
561	0.4199102699
562	0.4199049525
563	0.4198955763
564	0.4198939798
565	0.419880939
566	0.4198794255
567	0.4198771977
568	0.4198602227
569	0.4198537628
570	0.419848743
571	0.4198390418
572	0.4198379817
573	0.4198328787
574	0.4198270288
575	0.4198180252
576	0.4198135764
577	0.4198095811
578	0.4198052325
579	0.4197957188
580	0.4197762228
581	0.4197695741
582	0.4197582253
583	0.419747863
584	0.4197411668
585	0.4197403436
586	0.4197348647
587	0.4197306449
588	0.419719309
589	0.4197141883
590	0.4197060669
591	0.4197034911
592	0.4196914849
593	0.4196844955
594	0.4196826304
595	0.4196794732
596	0.4196733175
597	0.4196609875
598	0.4196574901
599	0.4196494719
600	0.4196314992
601	0.4196236599
602	0.4196167173
603	0.4196138735
604	0.4196087538
605	0.4196025347
606	0.4195972803
607	0.4195856202
608	0.4195765761
609	0.4195671191
610	0.4195586441
611	0.4195565253
612	0.4195511983
613	0.4195446511
614	0.4195364757
615	0.4195323992
616	0.4195242876
617	0.4195173214
618	0.4195087077
619	0.4195037947
620	0.4194946038
621	0.4194873345
622	0.4194764823
623	0.4194747458
624	0.419462309
625	0.4194569161
626	0.4194558817
627	0.4194481141
628	0.4194452763
629	0.4194431285
630	0.4194378066
631	0.4194349509
632	0.419427985
633	0.4194197913
634	0.4194067718
635	0.4194005858
636	0.4193997347
637	0.4193971742
638	0.4193901323
639	0.4193822925
640	0.4193788981
641	0.4193740948
642	0.4193716817
643	0.4193660945
644	0.4193591211
645	0.4193575768
646	0.4193478144
647	0.4193431963
648	0.4193329725
649	0.4193281143
650	0.4193246133
651	0.419322485
652	0.4193178321
653	0.4193138261
654	0.419304917
655	0.4193014467
656	0.4192918733
657	0.4192887132
658	0.4192730459
659	0.4192617303
660	0.419258809
661	0.4192544588
662	0.4192473675
663	0.4192443931
664	0.4192408248
665	0.419239257
666	0.4192327923
667	0.4192270347
668	0.419206514
669	0.4192044531
670	0.4192034326
671	0.4191909262
672	0.4191815429
673	0.4191720007
674	0.4191699655
675	0.419162247
676	0.4191513958
677	0.4191396515
678	0.4191338166
679	0.4191319446
680	0.4191267946
681	0.4191234078
682	0.4191083088
683	0.4190978512
684	0.4190919394
685	0.4190898383
686	0.4190872532
687	0.4190770694
688	0.4190649079
689	0.4190555347
690	0.41904522
691	0.419038043
692	0.419032955
693	0.4190239836
694	0.4190210124
695	0.4190143542
696	0.4190026337
697	0.4189969233
698	0.4189868975
699	0.4189830011
700	0.4189730872
701	0.4189690306
702	0.4189605862
703	0.418958774
704	0.4189560389
705	0.4189519793
706	0.4189422245
707	0.4189401883
708	0.4189367648
709	0.418928751
710	0.4189262243
711	0.418919388
712	0.418917529
713	0.4189094508
714	0.4189029499
715	0.4188807054
716	0.4188776309
717	0.4188721009
718	0.4188647497
719	0.4188591857
720	0.4188552586
721	0.418840137
722	0.4188356151
723	0.4188175758
724	0.418815237
725	0.4188129216
726	0.4188080159
727	0.4188035462
728	0.4187959319
729	0.4187926073
730	0.4187872464
731	0.4187834767
732	0.4187793672
733	0.4187728525
734	0.4187673818
735	0.4187623147
736	0.4187459372
737	0.4187388822
738	0.4187334237
739	0.418732192
740	0.4187243974
741	0.4187190144
742	0.418716508
743	0.4187020802
744	0.4186869897
745	0.418676273
746	0.4186599717
747	0.4186499743
748	0.4186452959
749	0.4186419669
750	0.418635228
751	0.4186267387
752	0.4186216567
753	0.4186187218
754	0.4186094381
755	0.4185988024
756	0.4185871059
757	0.4185742608
758	0.4185672056
759	0.4185610211
760	0.4185560466
761	0.4185512262
762	0.4185434803
763	0.4185383576
764	0.4185294416
765	0.4185251905
766	0.4185172778
767	0.4185128122
768	0.418498877
769	0.4184958454
770	0.418488497
771	0.4184827654
