iter	Passed	Remaining
0	1671	1669742
1	3137	1565699
2	4642	1542950
3	5267	1311616
4	6403	1274387
5	7946	1316395
6	9486	1345679
7	10850	1345454
8	12062	1328185
9	13559	1342410
10	14883	1338172
11	15839	1304118
12	17102	1298501
13	18642	1312970
14	20164	1324122
15	21319	1311141
16	22709	1313163
17	24240	1322477
18	25458	1314452
19	26738	1310204
20	28201	1314747
21	29665	1318776
22	31315	1330232
23	32969	1340772
24	34436	1343007
25	35972	1347589
26	37369	1346680
27	38869	1349309
28	40348	1350989
29	41817	1352115
30	43331	1354474
31	44694	1352011
32	46311	1357063
33	48047	1365115
34	49619	1368071
35	50979	1365107
36	52502	1366477
37	53938	1365497
38	55426	1365774
39	57057	1369381
40	58575	1370101
41	60151	1372023
42	61735	1373968
43	63182	1372792
44	64671	1372481
45	66209	1373121
46	67756	1373869
47	69475	1377938
48	71091	1379752
49	72750	1382259
50	74418	1384775
51	75964	1384890
52	77549	1385652
53	79067	1385150
54	80614	1385100
55	82023	1382683
56	83423	1380152
57	84956	1379808
58	86589	1381030
59	88026	1379084
60	89536	1378277
61	90959	1376127
62	92455	1375098
63	93904	1373350
64	95335	1371371
65	96996	1372654
66	98622	1373349
67	100080	1371693
68	101759	1373011
69	103394	1373673
70	105183	1376274
71	106978	1378839
72	108573	1378728
73	110516	1382946
74	112255	1384479
75	113921	1385045
76	115680	1386662
77	117274	1386243
78	119136	1388918
79	121008	1391595
80	122435	1389108
81	123975	1387919
82	125549	1387092
83	127103	1386032
84	128538	1383680
85	130018	1381820
86	131444	1379413
87	133033	1378715
88	134741	1379203
89	136205	1377192
90	137540	1373890
91	139006	1371934
92	140452	1369790
93	141826	1366969
94	143194	1364114
95	144692	1362525
96	146284	1361801
97	147509	1357689
98	148944	1355542
99	150319	1352871
100	151635	1349708
101	153101	1347893
102	154688	1347143
103	156258	1346230
104	157746	1344603
105	159003	1341032
106	160674	1340956
107	162068	1338562
108	163632	1337579
109	165286	1337315
110	166712	1335201
111	168111	1332885
112	169583	1331153
113	171249	1330936
114	172742	1329364
115	174142	1327087
116	175461	1324207
117	176869	1322021
118	178315	1320136
119	179734	1318053
120	181232	1316557
121	182804	1315589
122	184479	1315351
123	186106	1314751
124	187764	1314354
125	189458	1314178
126	190809	1311626
127	192289	1309973
128	193718	1307978
129	195038	1305259
130	196819	1305619
131	198459	1305021
132	199946	1303412
133	201400	1301586
